loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,title,inq_last_6mths,revol_bal,total_pymnt,total_rec_late_fee,last_pymnt_amnt,acc_open_past_24mths,delinq_amnt,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,loan_condition
9600, 36 months,23.4,373.62,E,E1,9 years,RENT,65000,Credit card refinancing,0,10678,728.52,0,373.62,1,0,0,68902,24165,7600,40402,1
3500, 36 months,20.89,131.67,D,D4,10+ years,MORTGAGE,40000,Car financing,1,1944,257.25,0,131.67,3,0,0,217000,26902,5000,25000,1
16000, 60 months,26.31,481.99,E,E4,< 1 year,RENT,33000,Credit card refinancing,1,22872,928.9,0,481.99,2,0,0,45709,29869,13900,10809,1
15000, 60 months,14.47,352.69,C,C2,nan,MORTGAGE,30000,Debt consolidation,0,20049,687.29,0,352.69,2,0,0,118790,24507,9900,14490,1
13000, 36 months,23.4,505.95,E,E1,2 years,MORTGAGE,90000,Other,0,52013,986.55,0,505.95,4,0,0,137276,87876,58600,74676,1
23000, 60 months,20.89,620.81,D,D4,5 years,RENT,68107,Debt consolidation,0,976,1201.58,0,1241.62,4,0,0,7500,976,3300,0,1
8000, 36 months,23.4,311.35,E,E1,10+ years,OWN,43000,Debt consolidation,0,9019,607.1,0,311.35,2,0,0,199744,31078,2300,32206,1
32075, 60 months,11.8,710.26,B,B4,10+ years,MORTGAGE,150000,Credit card refinancing,0,19077,1388.98,0,710.26,3,0,0,360433,56635,20000,80125,1
12000, 60 months,13.56,276.49,C,C1,< 1 year,MORTGAGE,40000,Debt consolidation,2,23195,539.42,0,276.49,3,0,0,50800,32462,36800,9000,1
10000, 60 months,19.92,264.5,D,D3,10+ years,MORTGAGE,80000,Debt consolidation,0,13198,512.4,0,264.5,2,0,0,170230,37606,8000,55030,1
16000, 60 months,17.97,406.04,D,D1,5 years,MORTGAGE,51000,Debt consolidation,1,7326,788.12,0,406.04,3,0,0,67924,39339,29500,38424,1
3300, 36 months,23.4,128.44,E,E1,3 years,RENT,49700,Vacation,1,2358,250.44,0,128.44,4,0,0,170985,166884,2800,162085,1
20000, 60 months,11.8,442.88,B,B4,nan,MORTGAGE,47590,Credit card refinancing,0,14134,866.09,0,442.88,3,0,0,126400,14134,14800,0,1
3500, 36 months,20.89,131.67,D,D4,10+ years,RENT,33190,Credit card refinancing,0,5072,257.25,0,131.67,1,0,0,14300,9812,4100,7000,1
12000, 36 months,26.31,485.48,E,E4,5 years,OWN,19000,Credit card refinancing,0,13467,944.65,0,485.48,1,0,0,24200,15094,10700,5100,1
10000, 36 months,20.89,376.19,D,D4,7 years,RENT,74000,Credit card refinancing,1,10669,1234.97,0,376.19,8,0,0,30272,13787,19500,4572,1
6000, 36 months,6.46,183.79,A,A1,1 year,MORTGAGE,40000,Credit card refinancing,1,7313,185.95,0,189.18,3,0,0,88400,19918,20600,14025,1
25000, 60 months,27.27,767.43,E,E5,5 years,MORTGAGE,171000,Credit card refinancing,1,19599,748.5,0,805.31,10,0,0,618336,142360,14000,137816,1
20000, 36 months,12.98,673.69,B,B5,5 years,RENT,74800,Debt consolidation,0,30052,1325.75,0,673.69,3,0,0,52000,39977,28700,18000,1
2200, 36 months,15.02,76.29,C,C3,nan,RENT,70000,Debt consolidation,0,1012,149.83,0,76.29,4,0,0,228937,17314,1300,29137,1
25000, 60 months,17.97,634.43,D,D1,7 years,RENT,53000,Debt consolidation,0,26258,1231.42,0,634.43,1,0,0,31500,26258,0,0,1
4000, 36 months,11.8,132.48,B,B4,nan,RENT,20000,Debt consolidation,0,1045,261.03,0,132.48,9,0,0,30900,4255,14200,4000,1
1250, 36 months,23.4,48.65,E,E1,10+ years,RENT,52000,Other,2,8050,94.86,0,48.65,2,0,0,27900,8050,14200,0,1
10400, 36 months,12.98,350.32,B,B5,10+ years,MORTGAGE,56099,Credit card refinancing,2,1669,689.39,0,350.32,8,0,0,60709,39564,17000,43709,1
7500, 36 months,11.8,248.4,B,B4,nan,MORTGAGE,32700,Debt consolidation,0,7144,489.42,0,248.4,1,0,0,160477,34839,12200,46648,1
7000, 36 months,10.72,228.25,B,B2,< 1 year,MORTGAGE,97000,Other,1,1988,2238.38,0,244.63,8,0,0,677593,115121,21600,160050,1
25000, 36 months,12.98,842.11,B,B5,nan,OWN,30000,Debt consolidation,0,14231,1657.18,0,842.11,2,0,0,71800,18729,59800,12000,1
8000, 36 months,11.8,264.96,B,B4,7 years,MORTGAGE,85000,Credit card refinancing,1,29038,522.05,0,264.96,4,0,0,151710,103435,45700,90210,1
9000, 36 months,10.33,291.81,B,B1,4 years,MORTGAGE,75000,Credit card refinancing,2,7871,575.87,0,291.81,4,0,0,119853,46424,23800,38553,1
9600, 36 months,15.02,332.89,C,C3,10+ years,OWN,60000,Debt consolidation,1,16424,653.76,0,332.89,7,0,0,78661,65733,17800,56161,1
8000, 36 months,10.72,260.86,B,B2,10+ years,MORTGAGE,82923,Car financing,0,16255,514.57,0,260.86,3,0,0,360944,72223,22300,59007,1
12000, 36 months,16.14,422.72,C,C4,6 years,RENT,24000,Credit card refinancing,0,7188,829.3,0,422.72,5,0,0,26248,16264,4000,11948,1
20000, 36 months,13.56,679.29,C,C1,9 years,MORTGAGE,40000,Debt consolidation,0,17101,1335.98,0,679.29,1,0,0,63645,30051,22600,27745,1
40000, 60 months,14.47,940.51,C,C2,< 1 year,MORTGAGE,500000,Debt consolidation,1,306893,1832.79,0,940.51,3,0,0,1197171,453994,89200,184971,1
14400, 60 months,14.47,338.59,C,C2,3 years,RENT,110000,Debt consolidation,1,20451,659.82,0,338.59,1,0,0,46300,35067,21300,15000,1
22400, 36 months,8.81,710.34,A,A5,2 years,MORTGAGE,30000,Debt consolidation,0,13929,1404.23,0,710.34,3,0,0,260635,21405,20000,19174,1
25000, 36 months,10.33,810.56,B,B1,2 years,OWN,78000,Debt consolidation,0,23635,1599.6,0,810.56,3,0,0,73350,41676,26500,25150,1
26000, 60 months,18.94,673.6,D,D2,10+ years,MORTGAGE,40000,Debt consolidation,0,1372,1306.16,0,673.6,2,0,0,105000,23138,7700,25000,1
25000, 60 months,15.02,595.02,C,C3,10+ years,MORTGAGE,63500,Debt consolidation,0,7742,1158.75,0,595.02,7,0,0,100078,85514,12400,81178,1
1000, 36 months,30.75,42.87,F,F5,nan,MORTGAGE,50000,Other,0,9833,83.18,0,42.87,3,0,0,199227,28230,9900,28489,1
2000, 36 months,8.19,62.85,A,A4,4 years,MORTGAGE,100000,Credit card refinancing,0,14865,124.34,0,62.85,9,0,0,232306,53703,21400,55275,1
9000, 36 months,6.46,275.68,A,A1,10+ years,MORTGAGE,35000,Debt consolidation,0,6385,546.52,0,275.68,5,0,0,122237,24259,33500,41362,1
20000, 36 months,13.56,679.29,C,C1,10+ years,MORTGAGE,98500,Debt consolidation,1,9382,1335.98,0,679.29,6,0,0,62740,22934,38900,14040,1
29450, 36 months,8.19,925.44,A,A4,10+ years,MORTGAGE,161000,Debt consolidation,0,19313,1830.78,0,925.44,2,0,0,436091,43720,21600,36789,1
34625, 60 months,16.14,844.6,C,C4,10+ years,MORTGAGE,137500,Debt consolidation,1,60229,813.56,0,860.13,4,0,0,445453,154347,73900,137413,1
31450, 36 months,7.56,979.16,A,A3,7 years,MORTGAGE,130000,Debt consolidation,0,65911,1885.68,0,979.16,0,0,0,519900,65911,62400,0,1
15500, 36 months,10.72,505.4,B,B2,10+ years,RENT,52000,Credit card refinancing,0,13496,996.95,0,505.4,5,0,0,49742,19386,27100,9942,1
12000, 36 months,11.8,397.43,B,B4,10+ years,RENT,79365,Debt consolidation,2,4957,783.06,0,397.43,10,0,0,103047,80734,6700,85247,1
36000, 60 months,17.97,913.58,D,D1,9 years,RENT,160000,Debt consolidation,1,31228,1773.25,0,913.58,6,0,0,259812,138100,76800,181515,1
30000, 36 months,16.14,1056.79,C,C4,7 years,MORTGAGE,116000,Debt consolidation,1,32317,2073.23,0,1056.79,4,0,0,426202,199424,28300,145284,1
3000, 36 months,17.97,108.42,D,D1,10+ years,RENT,50000,Debt consolidation,2,8271,212.35,0,108.42,7,0,0,69552,31910,20000,37734,1
35000, 36 months,12.98,1178.96,B,B5,2 years,RENT,112000,Debt consolidation,1,57501,2320.06,0,1178.96,2,0,0,76400,63497,56800,11000,1
26500, 60 months,11.31,580.28,B,B3,10+ years,MORTGAGE,134000,Credit card refinancing,2,43640,1135.58,0,580.28,6,0,0,430403,107975,49300,88875,1
4000, 36 months,23.4,155.68,E,E1,3 years,RENT,90000,Debt consolidation,4,5199,303.56,0,155.68,15,0,0,98655,66926,21900,71555,1
12000, 60 months,22.35,333.82,D,D5,< 1 year,OWN,65000,Credit card refinancing,0,9238,645.29,0,333.82,4,0,0,33200,15481,10200,11000,1
3000, 36 months,15.02,104.03,C,C3,4 years,MORTGAGE,60000,Home improvement,0,11026,204.3,0,104.03,5,0,0,400137,60074,11500,50524,1
8000, 36 months,14.47,275.26,C,C2,4 years,RENT,42300,Credit card refinancing,1,8284,540.87,0,275.26,8,0,0,60362,21732,31800,20962,1
10250, 36 months,10.72,334.22,B,B2,10+ years,MORTGAGE,96000,Debt consolidation,0,153,659.28,0,334.22,6,0,0,506359,196708,700,172659,1
22400, 60 months,16.14,546.4,C,C4,10+ years,OWN,56000,Credit card refinancing,0,13555,1062.67,0,546.4,2,0,0,253539,32070,28200,23364,1
27000, 60 months,15.02,642.62,C,C3,10+ years,MORTGAGE,45000,Debt consolidation,0,12903,1251.44,0,642.62,1,0,0,41500,21902,14700,21600,1
24000, 36 months,19.92,890.95,D,D3,7 years,RENT,30000,Credit card refinancing,2,14906,1742.06,0,890.95,6,0,0,91348,67646,17700,66148,1
6500, 36 months,10.72,211.95,B,B2,< 1 year,RENT,50000,Debt consolidation,2,5724,418.09,0,211.95,4,0,0,50022,39496,5800,35822,1
25000, 36 months,16.91,890.2,C,C5,10+ years,RENT,95000,Debt consolidation,0,28594,1745.17,0,890.2,3,0,0,99381,56546,59300,40081,1
8000, 36 months,10.72,260.86,B,B2,2 years,RENT,95000,Credit card refinancing,2,14156,258.48,0,265.63,12,0,0,55400,25875,9100,16000,1
21000, 60 months,15.02,499.81,C,C3,5 years,OWN,50000,Debt consolidation,0,0,973.34,0,499.81,3,0,0,22300,16802,1000,20000,1
10000, 36 months,14.47,344.07,C,C2,10+ years,RENT,47000,Credit card refinancing,3,10299,340.05,0,352.11,14,0,0,17700,10299,9700,0,1
7500, 36 months,16.14,264.2,C,C4,10+ years,OWN,50000,Home improvement,0,8064,518.31,0,264.2,3,0,0,39859,19324,17900,15959,1
30000, 36 months,16.91,1068.24,C,C5,10+ years,RENT,40000,Debt consolidation,0,17964,2094.2,0,1068.24,4,0,0,61800,29801,36600,15000,1
3775, 36 months,13.56,128.22,C,C1,nan,OWN,5000,Home improvement,0,2130,128.22,0,132.49,0,0,0,14392,5807,2200,9092,1
5600, 36 months,11.31,184.17,B,B3,nan,RENT,20166,Debt consolidation,0,14651,363.06,0,184.17,1,0,0,20400,17115,15300,3600,1
6000, 36 months,16.14,211.36,C,C4,3 years,RENT,40000,Other,0,5580,414.65,0,211.36,3,0,0,55383,6785,48500,0,1
16000, 36 months,15.02,554.81,C,C3,4 years,OWN,50000,Debt consolidation,0,10108,1089.59,0,554.81,6,0,0,38363,28254,11000,22863,1
15000, 36 months,16.14,528.4,C,C4,3 years,RENT,60000,Credit card refinancing,1,5311,1036.62,0,528.4,13,0,0,41884,29454,7100,31084,1
21000, 60 months,15.02,499.81,C,C3,10+ years,RENT,109000,Debt consolidation,2,2472,973.34,0,499.81,4,0,0,119923,70738,39700,80223,1
25000, 60 months,20.89,674.79,D,D4,1 year,MORTGAGE,70000,Debt consolidation,0,43749,1306.06,0,674.79,1,0,0,184656,43749,26554,0,1
1000, 36 months,8.19,31.43,A,A4,10+ years,MORTGAGE,78000,Other,1,7233,62.18,0,31.43,8,0,0,331993,19307,28800,20593,1
16000, 60 months,20.89,431.87,D,D4,10+ years,RENT,200000,Credit card refinancing,0,14270,835.89,0,431.87,4,0,0,86399,68613,6600,70099,1
8500, 36 months,16.91,302.67,C,C5,7 years,MORTGAGE,70200,Debt consolidation,1,5721,593.36,0,302.67,4,0,0,221124,5721,12524,0,1
30000, 36 months,22.35,1151.16,D,D5,5 years,MORTGAGE,100000,Debt consolidation,0,15603,30026.4425,0,30082.32,4,0,0,527120,98453,28600,101984,1
3000, 36 months,8.81,95.14,A,A5,nan,RENT,71250,Debt consolidation,2,1931,98.08,0,100.28,8,0,0,43500,7510,27300,6500,1
16000, 36 months,23.4,622.7,E,E1,10+ years,MORTGAGE,140000,Credit card refinancing,0,20581,747.5,0,778.7,7,0,0,570405,59655,16900,56000,1
8000, 36 months,12.98,269.48,B,B5,4 years,MORTGAGE,95000,Credit card refinancing,2,11434,530.31,0,269.48,10,0,0,271550,25150,34300,14000,1
30000, 60 months,17.97,761.32,D,D1,10+ years,MORTGAGE,65000,Debt consolidation,2,5086,1477.72,0,761.32,12,0,0,268985,9236,5500,5000,1
6000, 36 months,14.47,206.44,C,C2,10+ years,RENT,55000,Credit card refinancing,0,4196,405.64,0,206.44,2,0,0,15800,12514,4300,11200,1
5000, 36 months,12.98,168.43,B,B5,2 years,RENT,80000,Debt consolidation,1,7356,331.45,0,168.43,2,0,0,78200,7356,78200,0,1
10000, 36 months,16.14,352.27,C,C4,< 1 year,MORTGAGE,90000,Debt consolidation,0,17271,691.09,0,352.27,6,0,0,45600,24085,27000,10000,1
20000, 60 months,16.14,487.86,C,C4,10+ years,MORTGAGE,30000,Other,0,10391,948.82,0,487.86,2,0,0,142013,43599,7000,40313,1
22650, 36 months,10.72,738.54,B,B2,7 years,MORTGAGE,145000,Home improvement,0,36355,1456.85,0,738.54,3,0,0,749946,120638,98300,90596,1
10000, 36 months,11.31,328.86,B,B3,2 years,OWN,35000,Debt consolidation,0,6758,385.07,0,344.49,2,0,0,27673,21185,8300,16573,1
24000, 36 months,10.33,778.14,B,B1,10+ years,MORTGAGE,100000,Debt consolidation,3,8547,1535.62,0,778.14,9,0,0,335121,50686,25900,61514,1
4000, 36 months,18.94,146.51,D,D2,< 1 year,MORTGAGE,37000,Debt consolidation,0,742,286.71,0,146.51,3,0,0,116079,7144,16000,9479,1
30000, 36 months,15.02,1040.26,C,C3,10+ years,RENT,90000,Debt consolidation,1,25754,3541.42,0,1040.26,5,0,0,89849,51370,41600,36249,1
11000, 36 months,16.14,387.49,C,C4,3 years,MORTGAGE,240000,Debt consolidation,0,2565,760.18,0,387.49,5,0,0,504014,106180,29000,114497,1
24000, 60 months,13.56,552.98,C,C1,10+ years,MORTGAGE,125000,Credit card refinancing,1,41671,543.94,0,571.06,5,0,0,517409,142663,117900,130409,1
18000, 60 months,10.72,388.86,B,B2,10+ years,MORTGAGE,32000,Debt consolidation,0,6035,761.64,0,388.86,8,0,0,533144,67375,17300,72219,1
18000, 36 months,8.81,570.81,A,A5,< 1 year,RENT,40000,Debt consolidation,0,16147,1128.4,0,570.81,10,0,0,60900,28062,35800,15000,1
5525, 36 months,15.02,191.59,C,C3,10+ years,RENT,118000,Car financing,1,7038,376.26,0,191.59,5,0,0,15940,7038,11300,0,1
2525, 36 months,16.91,89.92,C,C5,1 year,RENT,21000,Credit card refinancing,1,3381,176.28,0,89.92,2,0,0,14100,6587,2500,4800,1
32000, 60 months,14.47,752.41,C,C2,10+ years,MORTGAGE,110000,Home improvement,0,14833,1466.23,0,752.41,9,0,0,94609,73873,26800,60109,1
16000, 36 months,25.34,639.04,E,E3,2 years,RENT,52000,Debt consolidation,0,17227,1244.29,0,639.04,14,0,0,76034,60727,23700,47534,1
16000, 36 months,14.47,550.51,C,C2,< 1 year,RENT,200000,Debt consolidation,2,90839,1081.73,0,550.51,4,0,0,208926,139867,114900,54181,1
18500, 60 months,12.98,420.75,B,B5,5 years,RENT,96500,Credit card refinancing,0,19000,821.49,0,420.75,1,0,0,131337,81660,22900,100737,1
3000, 36 months,10.72,97.82,B,B2,nan,MORTGAGE,30000,Credit card refinancing,0,9896,192.96,0,97.82,2,0,0,78318,21934,13900,18318,1
23000, 60 months,19.92,608.34,D,D3,nan,OWN,75000,Debt consolidation,0,24022,1178.5,0,608.34,1,0,0,97966,63707,24900,72066,1
1500, 36 months,17.97,54.21,D,D1,10+ years,MORTGAGE,56160,Other,0,0,106.17,0,54.21,1,0,0,127992,12780,0,12780,1
24000, 60 months,12.98,545.83,B,B5,10+ years,MORTGAGE,380000,Debt consolidation,0,14667,1065.7,0,545.83,4,0,0,687367,83245,21000,93867,1
5000, 36 months,16.14,176.14,C,C4,3 years,RENT,50000,Credit card refinancing,0,3645,1145.56,0,176.14,3,0,0,54174,45955,9100,38674,1
25000, 36 months,10.33,810.56,B,B1,10+ years,MORTGAGE,80000,Debt consolidation,0,29229,796.22,0,817.74,3,0,0,307338,86967,28000,72314,1
2500, 36 months,20.89,94.05,D,D4,3 years,RENT,29000,Other,1,605,183.75,0,94.05,3,0,0,1800,605,500,0,1
12000, 60 months,14.47,282.16,C,C2,10+ years,RENT,62000,Debt consolidation,1,16458,549.85,0,282.16,11,0,0,136208,55938,74500,42808,1
9600, 36 months,23.4,373.62,E,E1,3 years,RENT,100000,Business,4,4677,728.52,0,373.62,3,0,0,152513,153935,16200,128213,1
10000, 36 months,11.31,328.86,B,B3,nan,MORTGAGE,10020,Other,0,20857,648.3,0,328.86,0,0,0,72000,56865,20000,50000,1
7000, 36 months,15.02,242.73,C,C3,7 years,MORTGAGE,52000,Debt consolidation,0,7257,476.7,0,242.73,5,0,0,152142,25418,8500,26133,1
8000, 36 months,23.4,311.35,E,E1,1 year,RENT,49400,Other,3,12694,607.1,0,311.35,13,0,0,51600,22681,19500,10200,1
5000, 36 months,16.14,176.14,C,C4,< 1 year,MORTGAGE,115000,Other,0,25333,345.56,0,176.14,2,0,0,910660,71470,27800,69270,1
10000, 36 months,10.33,324.23,B,B1,< 1 year,MORTGAGE,280000,Debt consolidation,0,9082,639.85,0,324.23,7,0,0,367828,61364,20900,54912,1
8000, 36 months,10.33,259.38,B,B1,6 years,MORTGAGE,38000,Credit card refinancing,1,9394,511.87,0,259.38,8,0,0,100250,31634,14600,23358,1
4000, 36 months,18.94,146.51,D,D2,nan,RENT,19000,Major purchase,0,2736,140.2,0,146.51,4,0,0,17189,9024,3000,8389,1
24000, 60 months,11.31,525.54,B,B3,1 year,MORTGAGE,72000,Debt consolidation,0,20010,540.62,0,563.24,1,0,0,175897,44431,14000,34597,1
25000, 60 months,16.14,609.82,C,C4,5 years,MORTGAGE,45000,Debt consolidation,0,8901,1186.02,0,609.82,2,0,0,73683,49524,18600,49483,1
3000, 36 months,17.97,108.42,D,D1,7 years,MORTGAGE,33000,Other,1,1501,212.35,0,108.42,3,0,0,182840,43075,7800,41689,1
35000, 60 months,18.94,906.77,D,D2,10+ years,RENT,90000,Debt consolidation,0,41597,1758.3,0,906.77,0,0,0,43295,41597,43100,0,1
8800, 36 months,16.91,313.35,C,C5,< 1 year,MORTGAGE,21000,Debt consolidation,0,5709,614.3,0,313.35,10,0,0,51760,6958,29500,5060,1
10500, 60 months,11.8,232.51,B,B4,nan,OWN,36000,Debt consolidation,1,940,454.7,0,232.51,3,0,0,100122,39494,33500,55922,1
25000, 60 months,14.47,587.82,C,C2,3 years,MORTGAGE,65000,Credit card refinancing,1,13459,1145.49,0,587.82,3,0,0,209299,64611,8000,70150,1
5500, 36 months,11.31,180.88,B,B3,5 years,MORTGAGE,98000,Debt consolidation,1,29582,337.58,0,180.88,4,0,0,297567,48779,54100,20381,1
12000, 60 months,14.47,282.16,C,C2,6 years,MORTGAGE,39000,Debt consolidation,0,7899,482.33,0,282.16,5,0,0,123639,17353,18000,11939,1
8500, 36 months,16.14,299.43,C,C4,8 years,MORTGAGE,80000,Home improvement,1,683,587.43,0,299.43,8,0,0,59470,41877,6200,30998,1
35000, 60 months,20.89,944.71,D,D4,10+ years,RENT,80000,Other,1,36052,904.09,0,965.02,7,0,0,135419,80437,24700,81119,1
8250, 36 months,17.97,298.14,D,D1,10+ years,MORTGAGE,68000,Debt consolidation,0,6234,583.93,0,298.14,9,0,0,181066,30018,9300,33466,1
40000, 60 months,16.14,975.71,C,C4,< 1 year,MORTGAGE,45000,Credit card refinancing,0,34971,40856.67896,0,40910.48,5,0,0,344802,161720,45700,167965,1
20000, 36 months,10.33,648.45,B,B1,10+ years,MORTGAGE,60000,Debt consolidation,0,50,1216.56,0,648.45,2,0,0,117079,34115,16500,48079,1
18000, 36 months,8.81,570.81,A,A5,3 years,RENT,100203,Debt consolidation,0,18443,1128.4,0,570.81,3,0,0,283492,294097,43500,234992,1
11000, 36 months,14.47,378.47,C,C2,10+ years,MORTGAGE,89000,Debt consolidation,2,16948,743.68,0,378.47,7,0,0,290594,58469,10300,46094,1
12000, 36 months,16.14,422.72,C,C4,4 years,RENT,70000,Credit card refinancing,0,13663,829.3,0,422.72,3,0,0,56264,34470,18500,34164,1
15000, 60 months,13.56,345.62,C,C1,< 1 year,RENT,72000,Credit card refinancing,0,14295,413.42,0,430.37,3,0,0,244385,269086,19300,210925,1
4000, 36 months,16.91,142.44,C,C5,5 years,RENT,54000,Home improvement,1,17091,279.24,0,142.44,9,0,0,256733,17091,12000,0,1
32000, 60 months,12.98,727.78,B,B5,4 years,MORTGAGE,70000,Debt consolidation,1,4287,1420.95,0,727.78,3,0,0,315498,44853,8300,49168,1
15000, 60 months,14.47,352.69,C,C2,10+ years,MORTGAGE,120000,Debt consolidation,0,12435,687.29,0,352.69,2,0,0,391104,65710,10900,59454,1
18000, 60 months,14.47,423.23,C,C2,7 years,MORTGAGE,60000,Debt consolidation,0,3904,745.18,0,423.23,9,0,0,270534,23801,7000,27810,1
13000, 36 months,17.97,469.79,D,D1,10+ years,MORTGAGE,92360,Home improvement,1,32020,920.11,0,469.79,5,0,0,190803,49330,24400,28861,1
10000, 36 months,16.14,352.27,C,C4,1 year,MORTGAGE,63000,Debt consolidation,0,6315,406.07,0,419.52,2,0,0,47794,39797,6500,41294,1
3600, 36 months,11.8,119.23,B,B4,5 years,MORTGAGE,50000,Other,2,5865,133.39,0,136.93,6,0,0,272629,74049,17300,68929,1
22000, 60 months,11.8,487.16,B,B4,10+ years,MORTGAGE,155000,Credit card refinancing,0,23390,952.69,0,487.16,3,0,0,540220,168877,14800,172175,1
10450, 36 months,18.94,382.74,D,D2,10+ years,MORTGAGE,70000,Debt consolidation,0,34628,377.25,0,393.74,3,0,0,429450,41288,11800,17500,1
10000, 36 months,11.8,331.19,B,B4,9 years,RENT,100000,Credit card refinancing,0,26049,652.55,0,331.19,5,0,0,100961,64962,42200,50261,1
10000, 36 months,18.94,366.26,D,D2,7 years,MORTGAGE,37115,Other,0,5837,716.74,0,366.26,6,0,0,253346,40345,5600,41060,1
5000, 36 months,11.31,164.43,B,B3,2 years,RENT,40000,Debt consolidation,0,1070,161.3,0,166.01,4,0,0,125853,144979,3600,119753,1
20000, 36 months,7.56,622.68,A,A3,10+ years,MORTGAGE,100000,Credit card refinancing,0,25416,20215.79243,0,20228.39,5,0,0,622183,71569,85100,74833,1
17100, 36 months,18.94,626.3,D,D2,10+ years,RENT,38000,Debt consolidation,1,15323,1225.61,0,626.3,6,0,0,70954,43351,16600,41784,1
10475, 36 months,11.31,344.48,B,B3,6 years,RENT,66150,Debt consolidation,0,10499,679.09,0,344.48,5,0,0,26100,10499,23500,0,1
10000, 60 months,23.4,284.21,E,E1,< 1 year,RENT,55000,Debt consolidation,0,11859,548.92,0,284.21,4,0,0,34386,21235,10500,12386,1
7500, 36 months,11.31,246.65,B,B3,7 years,MORTGAGE,40500,Debt consolidation,1,14218,239.58,0,246.65,7,0,0,221569,22314,27700,28409,1
4000, 36 months,10.72,130.43,B,B2,10+ years,MORTGAGE,56000,Credit card refinancing,0,4518,247.77,0,130.43,5,0,0,221310,71375,12300,77865,1
