,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,title,inq_last_6mths,revol_bal,total_pymnt,total_rec_late_fee,last_pymnt_amnt,acc_open_past_24mths,delinq_amnt,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,total_il_high_credit_limit,loan_condition
25,15000, 60 months,14.47,352.69,C,C2,nan,MORTGAGE,30000.0,Debt consolidation,0.0,20049,687.29,0.0,352.69,2.0,0.0,0.0,118790.0,24507.0,9900.0,14490.0,14490.0,1
26,13000, 36 months,23.4,505.95,E,E1,2 years,MORTGAGE,90000.0,Other,0.0,52013,986.55,0.0,505.95,4.0,0.0,0.0,137276.0,87876.0,58600.0,74676.0,74676.0,1
27,23000, 60 months,20.89,620.81,D,D4,5 years,RENT,68107.0,Debt consolidation,0.0,976,1201.58,0.0,1241.62,4.0,0.0,0.0,7500.0,976.0,3300.0,0.0,0.0,1
28,8000, 36 months,23.4,311.35,E,E1,10+ years,OWN,43000.0,Debt consolidation,0.0,9019,607.1,0.0,311.35,2.0,0.0,0.0,199744.0,31078.0,2300.0,32206.0,32206.0,1
29,32075, 60 months,11.8,710.26,B,B4,10+ years,MORTGAGE,150000.0,Credit card refinancing,0.0,19077,1388.98,0.0,710.26,3.0,0.0,0.0,360433.0,56635.0,20000.0,80125.0,80125.0,1
30,12000, 60 months,13.56,276.49,C,C1,< 1 year,MORTGAGE,40000.0,Debt consolidation,2.0,23195,539.42,0.0,276.49,3.0,0.0,0.0,50800.0,32462.0,36800.0,9000.0,9000.0,1
31,10000, 60 months,19.92,264.5,D,D3,10+ years,MORTGAGE,80000.0,Debt consolidation,0.0,13198,512.4,0.0,264.5,2.0,0.0,0.0,170230.0,37606.0,8000.0,55030.0,55030.0,1
32,16000, 60 months,17.97,406.04,D,D1,5 years,MORTGAGE,51000.0,Debt consolidation,1.0,7326,788.12,0.0,406.04,3.0,0.0,0.0,67924.0,39339.0,29500.0,38424.0,38424.0,1
33,3300, 36 months,23.4,128.44,E,E1,3 years,RENT,49700.0,Vacation,1.0,2358,250.44,0.0,128.44,4.0,0.0,0.0,170985.0,166884.0,2800.0,162085.0,162085.0,1
34,20000, 60 months,11.8,442.88,B,B4,nan,MORTGAGE,47590.0,Credit card refinancing,0.0,14134,866.09,0.0,442.88,3.0,0.0,0.0,126400.0,14134.0,14800.0,0.0,0.0,1
35,3500, 36 months,20.89,131.67,D,D4,10+ years,RENT,33190.0,Credit card refinancing,0.0,5072,257.25,0.0,131.67,1.0,0.0,0.0,14300.0,9812.0,4100.0,7000.0,7000.0,1
36,12000, 36 months,26.31,485.48,E,E4,5 years,OWN,19000.0,Credit card refinancing,0.0,13467,944.65,0.0,485.48,1.0,0.0,0.0,24200.0,15094.0,10700.0,5100.0,5100.0,1
37,10000, 36 months,20.89,376.19,D,D4,7 years,RENT,74000.0,Credit card refinancing,1.0,10669,1234.97,0.0,376.19,8.0,0.0,0.0,30272.0,13787.0,19500.0,4572.0,4572.0,1
38,6000, 36 months,6.46,183.79,A,A1,1 year,MORTGAGE,40000.0,Credit card refinancing,1.0,7313,185.95,0.0,189.18,3.0,0.0,0.0,88400.0,19918.0,20600.0,14025.0,14025.0,1
39,25000, 60 months,27.27,767.43,E,E5,5 years,MORTGAGE,171000.0,Credit card refinancing,1.0,19599,748.5,0.0,805.31,10.0,0.0,0.0,618336.0,142360.0,14000.0,137816.0,137816.0,1
40,20000, 36 months,12.98,673.69,B,B5,5 years,RENT,74800.0,Debt consolidation,0.0,30052,1325.75,0.0,673.69,3.0,0.0,0.0,52000.0,39977.0,28700.0,18000.0,18000.0,1
41,2200, 36 months,15.02,76.29,C,C3,nan,RENT,70000.0,Debt consolidation,0.0,1012,149.83,0.0,76.29,4.0,0.0,0.0,228937.0,17314.0,1300.0,29137.0,29137.0,1
42,25000, 60 months,17.97,634.43,D,D1,7 years,RENT,53000.0,Debt consolidation,0.0,26258,1231.42,0.0,634.43,1.0,0.0,0.0,31500.0,26258.0,0.0,0.0,0.0,1
43,4000, 36 months,11.8,132.48,B,B4,nan,RENT,20000.0,Debt consolidation,0.0,1045,261.03,0.0,132.48,9.0,0.0,0.0,30900.0,4255.0,14200.0,4000.0,4000.0,1
44,1250, 36 months,23.4,48.65,E,E1,10+ years,RENT,52000.0,Other,2.0,8050,94.86,0.0,48.65,2.0,0.0,0.0,27900.0,8050.0,14200.0,0.0,0.0,1
45,10400, 36 months,12.98,350.32,B,B5,10+ years,MORTGAGE,56099.0,Credit card refinancing,2.0,1669,689.39,0.0,350.32,8.0,0.0,0.0,60709.0,39564.0,17000.0,43709.0,43709.0,1
46,7500, 36 months,11.8,248.4,B,B4,nan,MORTGAGE,32700.0,Debt consolidation,0.0,7144,489.42,0.0,248.4,1.0,0.0,0.0,160477.0,34839.0,12200.0,46648.0,46648.0,1
47,7000, 36 months,10.72,228.25,B,B2,< 1 year,MORTGAGE,97000.0,Other,1.0,1988,2238.38,0.0,244.63,8.0,0.0,0.0,677593.0,115121.0,21600.0,160050.0,160050.0,1
48,25000, 36 months,12.98,842.11,B,B5,nan,OWN,30000.0,Debt consolidation,0.0,14231,1657.18,0.0,842.11,2.0,0.0,0.0,71800.0,18729.0,59800.0,12000.0,12000.0,1
49,8000, 36 months,11.8,264.96,B,B4,7 years,MORTGAGE,85000.0,Credit card refinancing,1.0,29038,522.05,0.0,264.96,4.0,0.0,0.0,151710.0,103435.0,45700.0,90210.0,90210.0,1
50,9000, 36 months,10.33,291.81,B,B1,4 years,MORTGAGE,75000.0,Credit card refinancing,2.0,7871,575.87,0.0,291.81,4.0,0.0,0.0,119853.0,46424.0,23800.0,38553.0,38553.0,1
51,9600, 36 months,15.02,332.89,C,C3,10+ years,OWN,60000.0,Debt consolidation,1.0,16424,653.76,0.0,332.89,7.0,0.0,0.0,78661.0,65733.0,17800.0,56161.0,56161.0,1
52,8000, 36 months,10.72,260.86,B,B2,10+ years,MORTGAGE,82923.0,Car financing,0.0,16255,514.57,0.0,260.86,3.0,0.0,0.0,360944.0,72223.0,22300.0,59007.0,59007.0,1
53,12000, 36 months,16.14,422.72,C,C4,6 years,RENT,24000.0,Credit card refinancing,0.0,7188,829.3,0.0,422.72,5.0,0.0,0.0,26248.0,16264.0,4000.0,11948.0,11948.0,1
54,20000, 36 months,13.56,679.29,C,C1,9 years,MORTGAGE,40000.0,Debt consolidation,0.0,17101,1335.98,0.0,679.29,1.0,0.0,0.0,63645.0,30051.0,22600.0,27745.0,27745.0,1
55,40000, 60 months,14.47,940.51,C,C2,< 1 year,MORTGAGE,500000.0,Debt consolidation,1.0,306893,1832.79,0.0,940.51,3.0,0.0,0.0,1197171.0,453994.0,89200.0,184971.0,184971.0,1
56,14400, 60 months,14.47,338.59,C,C2,3 years,RENT,110000.0,Debt consolidation,1.0,20451,659.82,0.0,338.59,1.0,0.0,0.0,46300.0,35067.0,21300.0,15000.0,15000.0,1
57,22400, 36 months,8.81,710.34,A,A5,2 years,MORTGAGE,30000.0,Debt consolidation,0.0,13929,1404.23,0.0,710.34,3.0,0.0,0.0,260635.0,21405.0,20000.0,19174.0,19174.0,1
58,25000, 36 months,10.33,810.56,B,B1,2 years,OWN,78000.0,Debt consolidation,0.0,23635,1599.6,0.0,810.56,3.0,0.0,0.0,73350.0,41676.0,26500.0,25150.0,25150.0,1
59,26000, 60 months,18.94,673.6,D,D2,10+ years,MORTGAGE,40000.0,Debt consolidation,0.0,1372,1306.16,0.0,673.6,2.0,0.0,0.0,105000.0,23138.0,7700.0,25000.0,25000.0,1
60,25000, 60 months,15.02,595.02,C,C3,10+ years,MORTGAGE,63500.0,Debt consolidation,0.0,7742,1158.75,0.0,595.02,7.0,0.0,0.0,100078.0,85514.0,12400.0,81178.0,81178.0,1
61,1000, 36 months,30.75,42.87,F,F5,nan,MORTGAGE,50000.0,Other,0.0,9833,83.18,0.0,42.87,3.0,0.0,0.0,199227.0,28230.0,9900.0,28489.0,28489.0,1
62,2000, 36 months,8.19,62.85,A,A4,4 years,MORTGAGE,100000.0,Credit card refinancing,0.0,14865,124.34,0.0,62.85,9.0,0.0,0.0,232306.0,53703.0,21400.0,55275.0,55275.0,1
63,9000, 36 months,6.46,275.68,A,A1,10+ years,MORTGAGE,35000.0,Debt consolidation,0.0,6385,546.52,0.0,275.68,5.0,0.0,0.0,122237.0,24259.0,33500.0,41362.0,41362.0,1
64,20000, 36 months,13.56,679.29,C,C1,10+ years,MORTGAGE,98500.0,Debt consolidation,1.0,9382,1335.98,0.0,679.29,6.0,0.0,0.0,62740.0,22934.0,38900.0,14040.0,14040.0,1
65,29450, 36 months,8.19,925.44,A,A4,10+ years,MORTGAGE,161000.0,Debt consolidation,0.0,19313,1830.78,0.0,925.44,2.0,0.0,0.0,436091.0,43720.0,21600.0,36789.0,36789.0,1
66,34625, 60 months,16.14,844.6,C,C4,10+ years,MORTGAGE,137500.0,Debt consolidation,1.0,60229,813.56,0.0,860.13,4.0,0.0,0.0,445453.0,154347.0,73900.0,137413.0,137413.0,1
67,31450, 36 months,7.56,979.16,A,A3,7 years,MORTGAGE,130000.0,Debt consolidation,0.0,65911,1885.68,0.0,979.16,0.0,0.0,0.0,519900.0,65911.0,62400.0,0.0,0.0,1
68,15500, 36 months,10.72,505.4,B,B2,10+ years,RENT,52000.0,Credit card refinancing,0.0,13496,996.95,0.0,505.4,5.0,0.0,0.0,49742.0,19386.0,27100.0,9942.0,9942.0,1
69,12000, 36 months,11.8,397.43,B,B4,10+ years,RENT,79365.0,Debt consolidation,2.0,4957,783.06,0.0,397.43,10.0,0.0,0.0,103047.0,80734.0,6700.0,85247.0,85247.0,1
70,36000, 60 months,17.97,913.58,D,D1,9 years,RENT,160000.0,Debt consolidation,1.0,31228,1773.25,0.0,913.58,6.0,0.0,0.0,259812.0,138100.0,76800.0,181515.0,181515.0,1
71,30000, 36 months,16.14,1056.79,C,C4,7 years,MORTGAGE,116000.0,Debt consolidation,1.0,32317,2073.23,0.0,1056.79,4.0,0.0,0.0,426202.0,199424.0,28300.0,145284.0,145284.0,1
72,3000, 36 months,17.97,108.42,D,D1,10+ years,RENT,50000.0,Debt consolidation,2.0,8271,212.35,0.0,108.42,7.0,0.0,0.0,69552.0,31910.0,20000.0,37734.0,37734.0,1
73,35000, 36 months,12.98,1178.96,B,B5,2 years,RENT,112000.0,Debt consolidation,1.0,57501,2320.06,0.0,1178.96,2.0,0.0,0.0,76400.0,63497.0,56800.0,11000.0,11000.0,1
74,26500, 60 months,11.31,580.28,B,B3,10+ years,MORTGAGE,134000.0,Credit card refinancing,2.0,43640,1135.58,0.0,580.28,6.0,0.0,0.0,430403.0,107975.0,49300.0,88875.0,88875.0,1
75,4000, 36 months,23.4,155.68,E,E1,3 years,RENT,90000.0,Debt consolidation,4.0,5199,303.56,0.0,155.68,15.0,0.0,0.0,98655.0,66926.0,21900.0,71555.0,71555.0,1
76,12000, 60 months,22.35,333.82,D,D5,< 1 year,OWN,65000.0,Credit card refinancing,0.0,9238,645.29,0.0,333.82,4.0,0.0,0.0,33200.0,15481.0,10200.0,11000.0,11000.0,1
77,3000, 36 months,15.02,104.03,C,C3,4 years,MORTGAGE,60000.0,Home improvement,0.0,11026,204.3,0.0,104.03,5.0,0.0,0.0,400137.0,60074.0,11500.0,50524.0,50524.0,1
78,8000, 36 months,14.47,275.26,C,C2,4 years,RENT,42300.0,Credit card refinancing,1.0,8284,540.87,0.0,275.26,8.0,0.0,0.0,60362.0,21732.0,31800.0,20962.0,20962.0,1
79,10250, 36 months,10.72,334.22,B,B2,10+ years,MORTGAGE,96000.0,Debt consolidation,0.0,153,659.28,0.0,334.22,6.0,0.0,0.0,506359.0,196708.0,700.0,172659.0,172659.0,1
80,22400, 60 months,16.14,546.4,C,C4,10+ years,OWN,56000.0,Credit card refinancing,0.0,13555,1062.67,0.0,546.4,2.0,0.0,0.0,253539.0,32070.0,28200.0,23364.0,23364.0,1
81,27000, 60 months,15.02,642.62,C,C3,10+ years,MORTGAGE,45000.0,Debt consolidation,0.0,12903,1251.44,0.0,642.62,1.0,0.0,0.0,41500.0,21902.0,14700.0,21600.0,21600.0,1
82,24000, 36 months,19.92,890.95,D,D3,7 years,RENT,30000.0,Credit card refinancing,2.0,14906,1742.06,0.0,890.95,6.0,0.0,0.0,91348.0,67646.0,17700.0,66148.0,66148.0,1
83,6500, 36 months,10.72,211.95,B,B2,< 1 year,RENT,50000.0,Debt consolidation,2.0,5724,418.09,0.0,211.95,4.0,0.0,0.0,50022.0,39496.0,5800.0,35822.0,35822.0,1
84,25000, 36 months,16.91,890.2,C,C5,10+ years,RENT,95000.0,Debt consolidation,0.0,28594,1745.17,0.0,890.2,3.0,0.0,0.0,99381.0,56546.0,59300.0,40081.0,40081.0,1
85,8000, 36 months,10.72,260.86,B,B2,2 years,RENT,95000.0,Credit card refinancing,2.0,14156,258.48,0.0,265.63,12.0,0.0,0.0,55400.0,25875.0,9100.0,16000.0,16000.0,1
86,21000, 60 months,15.02,499.81,C,C3,5 years,OWN,50000.0,Debt consolidation,0.0,0,973.34,0.0,499.81,3.0,0.0,0.0,22300.0,16802.0,1000.0,20000.0,20000.0,1
87,10000, 36 months,14.47,344.07,C,C2,10+ years,RENT,47000.0,Credit card refinancing,3.0,10299,340.05,0.0,352.11,14.0,0.0,0.0,17700.0,10299.0,9700.0,0.0,0.0,1
88,7500, 36 months,16.14,264.2,C,C4,10+ years,OWN,50000.0,Home improvement,0.0,8064,518.31,0.0,264.2,3.0,0.0,0.0,39859.0,19324.0,17900.0,15959.0,15959.0,1
89,30000, 36 months,16.91,1068.24,C,C5,10+ years,RENT,40000.0,Debt consolidation,0.0,17964,2094.2,0.0,1068.24,4.0,0.0,0.0,61800.0,29801.0,36600.0,15000.0,15000.0,1
90,3775, 36 months,13.56,128.22,C,C1,nan,OWN,5000.0,Home improvement,0.0,2130,128.22,0.0,132.49,0.0,0.0,0.0,14392.0,5807.0,2200.0,9092.0,9092.0,1
91,5600, 36 months,11.31,184.17,B,B3,nan,RENT,20166.0,Debt consolidation,0.0,14651,363.06,0.0,184.17,1.0,0.0,0.0,20400.0,17115.0,15300.0,3600.0,3600.0,1
92,6000, 36 months,16.14,211.36,C,C4,3 years,RENT,40000.0,Other,0.0,5580,414.65,0.0,211.36,3.0,0.0,0.0,55383.0,6785.0,48500.0,0.0,0.0,1
93,16000, 36 months,15.02,554.81,C,C3,4 years,OWN,50000.0,Debt consolidation,0.0,10108,1089.59,0.0,554.81,6.0,0.0,0.0,38363.0,28254.0,11000.0,22863.0,22863.0,1
94,15000, 36 months,16.14,528.4,C,C4,3 years,RENT,60000.0,Credit card refinancing,1.0,5311,1036.62,0.0,528.4,13.0,0.0,0.0,41884.0,29454.0,7100.0,31084.0,31084.0,1
95,21000, 60 months,15.02,499.81,C,C3,10+ years,RENT,109000.0,Debt consolidation,2.0,2472,973.34,0.0,499.81,4.0,0.0,0.0,119923.0,70738.0,39700.0,80223.0,80223.0,1
96,25000, 60 months,20.89,674.79,D,D4,1 year,MORTGAGE,70000.0,Debt consolidation,0.0,43749,1306.06,0.0,674.79,1.0,0.0,0.0,184656.0,43749.0,26554.0,0.0,0.0,1
97,1000, 36 months,8.19,31.43,A,A4,10+ years,MORTGAGE,78000.0,Other,1.0,7233,62.18,0.0,31.43,8.0,0.0,0.0,331993.0,19307.0,28800.0,20593.0,20593.0,1
98,16000, 60 months,20.89,431.87,D,D4,10+ years,RENT,200000.0,Credit card refinancing,0.0,14270,835.89,0.0,431.87,4.0,0.0,0.0,86399.0,68613.0,6600.0,70099.0,70099.0,1
99,8500, 36 months,16.91,302.67,C,C5,7 years,MORTGAGE,70200.0,Debt consolidation,1.0,5721,593.36,0.0,302.67,4.0,0.0,0.0,221124.0,5721.0,12524.0,0.0,0.0,1
100,30000, 36 months,22.35,1151.16,D,D5,5 years,MORTGAGE,100000.0,Debt consolidation,0.0,15603,30026.4425,0.0,30082.32,4.0,0.0,0.0,527120.0,98453.0,28600.0,101984.0,101984.0,1
101,3000, 36 months,8.81,95.14,A,A5,nan,RENT,71250.0,Debt consolidation,2.0,1931,98.08,0.0,100.28,8.0,0.0,0.0,43500.0,7510.0,27300.0,6500.0,6500.0,1
102,16000, 36 months,23.4,622.7,E,E1,10+ years,MORTGAGE,140000.0,Credit card refinancing,0.0,20581,747.5,0.0,778.7,7.0,0.0,0.0,570405.0,59655.0,16900.0,56000.0,56000.0,1
103,8000, 36 months,12.98,269.48,B,B5,4 years,MORTGAGE,95000.0,Credit card refinancing,2.0,11434,530.31,0.0,269.48,10.0,0.0,0.0,271550.0,25150.0,34300.0,14000.0,14000.0,1
104,30000, 60 months,17.97,761.32,D,D1,10+ years,MORTGAGE,65000.0,Debt consolidation,2.0,5086,1477.72,0.0,761.32,12.0,0.0,0.0,268985.0,9236.0,5500.0,5000.0,5000.0,1
105,6000, 36 months,14.47,206.44,C,C2,10+ years,RENT,55000.0,Credit card refinancing,0.0,4196,405.64,0.0,206.44,2.0,0.0,0.0,15800.0,12514.0,4300.0,11200.0,11200.0,1
106,5000, 36 months,12.98,168.43,B,B5,2 years,RENT,80000.0,Debt consolidation,1.0,7356,331.45,0.0,168.43,2.0,0.0,0.0,78200.0,7356.0,78200.0,0.0,0.0,1
107,10000, 36 months,16.14,352.27,C,C4,< 1 year,MORTGAGE,90000.0,Debt consolidation,0.0,17271,691.09,0.0,352.27,6.0,0.0,0.0,45600.0,24085.0,27000.0,10000.0,10000.0,1
108,20000, 60 months,16.14,487.86,C,C4,10+ years,MORTGAGE,30000.0,Other,0.0,10391,948.82,0.0,487.86,2.0,0.0,0.0,142013.0,43599.0,7000.0,40313.0,40313.0,1
109,22650, 36 months,10.72,738.54,B,B2,7 years,MORTGAGE,145000.0,Home improvement,0.0,36355,1456.85,0.0,738.54,3.0,0.0,0.0,749946.0,120638.0,98300.0,90596.0,90596.0,1
110,10000, 36 months,11.31,328.86,B,B3,2 years,OWN,35000.0,Debt consolidation,0.0,6758,385.07,0.0,344.49,2.0,0.0,0.0,27673.0,21185.0,8300.0,16573.0,16573.0,1
111,24000, 36 months,10.33,778.14,B,B1,10+ years,MORTGAGE,100000.0,Debt consolidation,3.0,8547,1535.62,0.0,778.14,9.0,0.0,0.0,335121.0,50686.0,25900.0,61514.0,61514.0,1
112,4000, 36 months,18.94,146.51,D,D2,< 1 year,MORTGAGE,37000.0,Debt consolidation,0.0,742,286.71,0.0,146.51,3.0,0.0,0.0,116079.0,7144.0,16000.0,9479.0,9479.0,1
113,30000, 36 months,15.02,1040.26,C,C3,10+ years,RENT,90000.0,Debt consolidation,1.0,25754,3541.42,0.0,1040.26,5.0,0.0,0.0,89849.0,51370.0,41600.0,36249.0,36249.0,1
114,11000, 36 months,16.14,387.49,C,C4,3 years,MORTGAGE,240000.0,Debt consolidation,0.0,2565,760.18,0.0,387.49,5.0,0.0,0.0,504014.0,106180.0,29000.0,114497.0,114497.0,1
115,24000, 60 months,13.56,552.98,C,C1,10+ years,MORTGAGE,125000.0,Credit card refinancing,1.0,41671,543.94,0.0,571.06,5.0,0.0,0.0,517409.0,142663.0,117900.0,130409.0,130409.0,1
116,18000, 60 months,10.72,388.86,B,B2,10+ years,MORTGAGE,32000.0,Debt consolidation,0.0,6035,761.64,0.0,388.86,8.0,0.0,0.0,533144.0,67375.0,17300.0,72219.0,72219.0,1
117,18000, 36 months,8.81,570.81,A,A5,< 1 year,RENT,40000.0,Debt consolidation,0.0,16147,1128.4,0.0,570.81,10.0,0.0,0.0,60900.0,28062.0,35800.0,15000.0,15000.0,1
118,5525, 36 months,15.02,191.59,C,C3,10+ years,RENT,118000.0,Car financing,1.0,7038,376.26,0.0,191.59,5.0,0.0,0.0,15940.0,7038.0,11300.0,0.0,0.0,1
119,2525, 36 months,16.91,89.92,C,C5,1 year,RENT,21000.0,Credit card refinancing,1.0,3381,176.28,0.0,89.92,2.0,0.0,0.0,14100.0,6587.0,2500.0,4800.0,4800.0,1
120,32000, 60 months,14.47,752.41,C,C2,10+ years,MORTGAGE,110000.0,Home improvement,0.0,14833,1466.23,0.0,752.41,9.0,0.0,0.0,94609.0,73873.0,26800.0,60109.0,60109.0,1
121,16000, 36 months,25.34,639.04,E,E3,2 years,RENT,52000.0,Debt consolidation,0.0,17227,1244.29,0.0,639.04,14.0,0.0,0.0,76034.0,60727.0,23700.0,47534.0,47534.0,1
122,16000, 36 months,14.47,550.51,C,C2,< 1 year,RENT,200000.0,Debt consolidation,2.0,90839,1081.73,0.0,550.51,4.0,0.0,0.0,208926.0,139867.0,114900.0,54181.0,54181.0,1
123,18500, 60 months,12.98,420.75,B,B5,5 years,RENT,96500.0,Credit card refinancing,0.0,19000,821.49,0.0,420.75,1.0,0.0,0.0,131337.0,81660.0,22900.0,100737.0,100737.0,1
124,3000, 36 months,10.72,97.82,B,B2,nan,MORTGAGE,30000.0,Credit card refinancing,0.0,9896,192.96,0.0,97.82,2.0,0.0,0.0,78318.0,21934.0,13900.0,18318.0,18318.0,1
125,23000, 60 months,19.92,608.34,D,D3,nan,OWN,75000.0,Debt consolidation,0.0,24022,1178.5,0.0,608.34,1.0,0.0,0.0,97966.0,63707.0,24900.0,72066.0,72066.0,1
126,1500, 36 months,17.97,54.21,D,D1,10+ years,MORTGAGE,56160.0,Other,0.0,0,106.17,0.0,54.21,1.0,0.0,0.0,127992.0,12780.0,0.0,12780.0,12780.0,1
127,24000, 60 months,12.98,545.83,B,B5,10+ years,MORTGAGE,380000.0,Debt consolidation,0.0,14667,1065.7,0.0,545.83,4.0,0.0,0.0,687367.0,83245.0,21000.0,93867.0,93867.0,1
128,5000, 36 months,16.14,176.14,C,C4,3 years,RENT,50000.0,Credit card refinancing,0.0,3645,1145.56,0.0,176.14,3.0,0.0,0.0,54174.0,45955.0,9100.0,38674.0,38674.0,1
129,25000, 36 months,10.33,810.56,B,B1,10+ years,MORTGAGE,80000.0,Debt consolidation,0.0,29229,796.22,0.0,817.74,3.0,0.0,0.0,307338.0,86967.0,28000.0,72314.0,72314.0,1
